train 0: time=0:02:16.351459, step=971, loss=2.95194, accuracy=0.528935
dev 0: time=0:00:01.811000, step=971, loss=0.723156, accuracy=0.8542
train 1: time=0:02:16.242546, step=1942, loss=0.427759, accuracy=0.909056
dev 1: time=0:00:01.783232, step=1942, loss=0.278071, accuracy=0.9372
train 2: time=0:02:16.198393, step=2913, loss=0.238565, accuracy=0.942458
dev 2: time=0:00:01.762128, step=2913, loss=0.204633, accuracy=0.9532
train 3: time=0:02:15.940897, step=3884, loss=0.167685, accuracy=0.957729
dev 3: time=0:00:01.847258, step=3884, loss=0.211533, accuracy=0.9508
train 4: time=0:02:16.179632, step=4855, loss=0.127359, accuracy=0.966423
dev 4: time=0:00:01.755717, step=4855, loss=0.180009, accuracy=0.9566
train 5: time=0:02:16.207114, step=5826, loss=0.0977728, accuracy=0.973444
dev 5: time=0:00:01.723461, step=5826, loss=0.212163, accuracy=0.9513
train 6: time=0:02:16.107474, step=6797, loss=0.0727316, accuracy=0.980205
dev 6: time=0:00:01.907473, step=6797, loss=0.18416, accuracy=0.9587
train 7: time=0:02:16.075338, step=7768, loss=0.0582305, accuracy=0.984397
dev 7: time=0:00:01.719645, step=7768, loss=0.166521, accuracy=0.96445
train 8: time=0:02:13.600238, step=8739, loss=0.0523079, accuracy=0.986274
dev 8: time=0:00:01.742366, step=8739, loss=0.202289, accuracy=0.9561
train 9: time=0:02:11.476421, step=9710, loss=0.0401495, accuracy=0.989517
dev 9: time=0:00:01.796738, step=9710, loss=0.175642, accuracy=0.9639
train 10: time=0:02:09.482142, step=10681, loss=0.033167, accuracy=0.991589
dev 10: time=0:00:01.709221, step=10681, loss=0.183888, accuracy=0.96275
train 11: time=0:02:09.381253, step=11652, loss=0.0249059, accuracy=0.993639
dev 11: time=0:00:01.650942, step=11652, loss=0.183387, accuracy=0.96365
train 12: time=0:02:09.272945, step=12623, loss=0.0241322, accuracy=0.994104
dev 12: time=0:00:01.664879, step=12623, loss=0.186719, accuracy=0.9643
train 13: time=0:02:09.515121, step=13594, loss=0.0187811, accuracy=0.995502
dev 13: time=0:00:01.685613, step=13594, loss=0.19422, accuracy=0.9624
train 14: time=0:02:09.597365, step=14565, loss=0.0181977, accuracy=0.995705
dev 14: time=0:00:01.703093, step=14565, loss=0.186252, accuracy=0.9646
train 15: time=0:02:09.468370, step=15536, loss=0.015316, accuracy=0.996299
dev 15: time=0:00:01.666691, step=15536, loss=0.197011, accuracy=0.96465
train 16: time=0:02:09.549638, step=16507, loss=0.0200163, accuracy=0.995544
dev 16: time=0:00:01.642704, step=16507, loss=0.194016, accuracy=0.9655
train 17: time=0:02:09.504274, step=17478, loss=0.0105674, accuracy=0.997648
dev 17: time=0:00:01.689823, step=17478, loss=0.203186, accuracy=0.9643
train 18: time=0:02:09.464217, step=18449, loss=0.0163064, accuracy=0.996321
dev 18: time=0:00:01.648406, step=18449, loss=0.199693, accuracy=0.96615
train 19: time=0:02:09.545037, step=19420, loss=0.0107897, accuracy=0.99761
dev 19: time=0:00:01.645574, step=19420, loss=0.209602, accuracy=0.96375
