train 0: time=0:10:34.159686, step=1416, loss=28.5494 (8.86334 + 19.686), precision=0.577827, recall=0.801861, F=0.671655
dev 0: time=0:00:08.294997, step=1416, loss=12.3955 (6.59774 + 5.79774), precision=0.635327, recall=0.881601, F=0.738473
train 1: time=0:10:26.239132, step=2832, loss=10.018 (5.95753 + 4.06051), precision=0.695313, recall=0.862014, F=0.769742
dev 1: time=0:00:07.935866, step=2832, loss=9.39151 (6.0863 + 3.30521), precision=0.722584, recall=0.841377, F=0.777469
train 2: time=0:10:16.447464, step=4248, loss=7.84572 (5.25587 + 2.58985), precision=0.719109, recall=0.882628, F=0.792522
dev 2: time=0:00:07.980019, step=4248, loss=8.45409 (5.81053 + 2.64356), precision=0.634266, recall=0.917637, F=0.75008
train 3: time=0:10:38.080222, step=5664, loss=6.90639 (4.88089 + 2.0255), precision=0.732038, recall=0.894023, F=0.804962
dev 3: time=0:00:07.952856, step=5664, loss=8.63568 (5.87928 + 2.75641), precision=0.773176, recall=0.836261, F=0.803482
train 4: time=0:10:45.039877, step=7080, loss=6.29496 (4.59694 + 1.69802), precision=0.742303, recall=0.902667, F=0.814668
dev 4: time=0:00:08.535713, step=7080, loss=8.20007 (5.759 + 2.44107), precision=0.755059, recall=0.852374, F=0.80077
train 0: time=0:10:46.673041, step=8496, loss=5.83306 (4.36451 + 1.46855), precision=0.750936, recall=0.909589, F=0.822683
dev 0: time=0:00:08.576826, step=8496, loss=8.10786 (5.71356 + 2.3943), precision=0.76562, recall=0.845312, F=0.803495
train 1: time=0:10:44.900593, step=9912, loss=5.46289 (4.15554 + 1.30736), precision=0.759199, recall=0.915894, F=0.830218
dev 1: time=0:00:07.920906, step=9912, loss=8.25942 (5.91168 + 2.34774), precision=0.760886, recall=0.854456, F=0.804961
train 2: time=0:10:16.596003, step=11328, loss=5.11832 (3.95276 + 1.16556), precision=0.767647, recall=0.921578, F=0.837599
dev 2: time=0:00:07.893153, step=11328, loss=8.06273 (5.73386 + 2.32886), precision=0.744102, recall=0.86386, F=0.799521
train 3: time=0:10:17.169352, step=12744, loss=4.84013 (3.78101 + 1.05911), precision=0.774616, recall=0.926397, F=0.843735
dev 3: time=0:00:07.914315, step=12744, loss=8.12209 (5.79096 + 2.33113), precision=0.718599, recall=0.881694, F=0.791836
train 4: time=0:10:16.556071, step=14160, loss=4.57726 (3.61937 + 0.957888), precision=0.782001, recall=0.930768, F=0.849924
dev 4: time=0:00:07.950656, step=14160, loss=8.40686 (6.03003 + 2.37683), precision=0.727684, recall=0.869696, F=0.792378
