train 0: time=0:01:21.146125, step=971, loss=1.45291, accuracy=0.747465
dev 0: time=0:00:01.036577, step=971, loss=0.265215, accuracy=0.943
train 1: time=0:01:21.313014, step=1942, loss=0.27197, accuracy=0.939068
dev 1: time=0:00:00.982434, step=1942, loss=0.200227, accuracy=0.95465
train 2: time=0:01:20.421410, step=2913, loss=0.218175, accuracy=0.948968
dev 2: time=0:00:00.931925, step=2913, loss=0.180661, accuracy=0.95815
train 3: time=0:01:19.408578, step=3884, loss=0.192372, accuracy=0.953625
dev 3: time=0:00:01.029331, step=3884, loss=0.170665, accuracy=0.9616
train 4: time=0:01:20.691018, step=4855, loss=0.176809, accuracy=0.956329
dev 4: time=0:00:00.980852, step=4855, loss=0.165089, accuracy=0.96145
train 5: time=0:01:20.492560, step=5826, loss=0.166388, accuracy=0.95798
dev 5: time=0:00:00.964628, step=5826, loss=0.163203, accuracy=0.96315
train 6: time=0:01:21.122982, step=6797, loss=0.158801, accuracy=0.959406
dev 6: time=0:00:00.950794, step=6797, loss=0.161599, accuracy=0.96295
train 7: time=0:01:22.409203, step=7768, loss=0.151125, accuracy=0.960531
dev 7: time=0:00:00.992030, step=7768, loss=0.15875, accuracy=0.9619
train 8: time=0:01:21.938625, step=8739, loss=0.148265, accuracy=0.961231
dev 8: time=0:00:00.977682, step=8739, loss=0.156521, accuracy=0.96465
train 9: time=0:01:20.767982, step=9710, loss=0.142306, accuracy=0.962166
dev 9: time=0:00:00.945190, step=9710, loss=0.152741, accuracy=0.9657
train 0: time=0:01:17.195123, step=10681, loss=0.139104, accuracy=0.962861
dev 0: time=0:00:00.907625, step=10681, loss=0.155302, accuracy=0.96465
train 1: time=0:01:16.899267, step=11652, loss=0.136541, accuracy=0.963295
dev 1: time=0:00:00.910603, step=11652, loss=0.154597, accuracy=0.96475
train 2: time=0:01:16.943335, step=12623, loss=0.134428, accuracy=0.963603
dev 2: time=0:00:00.914655, step=12623, loss=0.152661, accuracy=0.96545
train 3: time=0:01:18.460087, step=13594, loss=0.129377, accuracy=0.964914
dev 3: time=0:00:00.953381, step=13594, loss=0.149642, accuracy=0.9669
train 4: time=0:01:20.137656, step=14565, loss=0.127843, accuracy=0.964766
dev 4: time=0:00:00.946651, step=14565, loss=0.151064, accuracy=0.96685
train 0: time=0:01:20.586671, step=15536, loss=0.126507, accuracy=0.965295
dev 0: time=0:00:00.949344, step=15536, loss=0.146539, accuracy=0.96685
train 1: time=0:01:20.578787, step=16507, loss=0.124153, accuracy=0.965532
dev 1: time=0:00:00.951293, step=16507, loss=0.14635, accuracy=0.96795
train 2: time=0:01:20.573286, step=17478, loss=0.12251, accuracy=0.965956
dev 2: time=0:00:00.954049, step=17478, loss=0.148622, accuracy=0.9672
train 3: time=0:01:21.092960, step=18449, loss=0.121296, accuracy=0.966059
dev 3: time=0:00:00.966698, step=18449, loss=0.144493, accuracy=0.9673
train 4: time=0:01:20.037437, step=19420, loss=0.120788, accuracy=0.966158
dev 4: time=0:00:00.948316, step=19420, loss=0.148732, accuracy=0.9674
