train 0: time=0:02:00.069306, step=1942, loss=1.25486, accuracy=0.771207
dev 0: time=0:00:01.961724, step=1942, loss=0.320251, accuracy=0.93525
train 1: time=0:01:56.167042, step=3884, loss=0.309343, accuracy=0.932446
dev 1: time=0:00:01.869490, step=3884, loss=0.248523, accuracy=0.9463
train 2: time=0:02:03.527170, step=5826, loss=0.244321, accuracy=0.942708
dev 2: time=0:00:01.830142, step=5826, loss=0.22733, accuracy=0.9517
train 3: time=0:01:56.586405, step=7768, loss=0.207444, accuracy=0.948924
dev 3: time=0:00:01.983306, step=7768, loss=0.215406, accuracy=0.95525
train 4: time=0:01:53.278037, step=9710, loss=0.180763, accuracy=0.954794
dev 4: time=0:00:01.828450, step=9710, loss=0.20315, accuracy=0.9587
train 5: time=0:01:53.365312, step=11652, loss=0.158162, accuracy=0.959298
dev 5: time=0:00:01.852453, step=11652, loss=0.208832, accuracy=0.9599
train 6: time=0:01:53.510806, step=13594, loss=0.141496, accuracy=0.962919
dev 6: time=0:00:01.799869, step=13594, loss=0.2058, accuracy=0.9623
train 7: time=0:01:53.283946, step=15536, loss=0.128501, accuracy=0.96585
dev 7: time=0:00:01.883515, step=15536, loss=0.204779, accuracy=0.9617
train 8: time=0:01:53.324326, step=17478, loss=0.115696, accuracy=0.96895
dev 8: time=0:00:01.788524, step=17478, loss=0.212617, accuracy=0.9627
train 9: time=0:01:53.300904, step=19420, loss=0.1086, accuracy=0.970962
dev 9: time=0:00:01.802101, step=19420, loss=0.20458, accuracy=0.9639
